cat_id,cat_nombre,slug_carpeta,hero_archivo,hero_url_nueva,total_imgs_desc,todas_imagenes
109,"&#x1f947;Cursos online de Euskera",cursos-online-de-euskera,"Cursos online de Euskera.png",https://dev.ciberaula.org/images/categorias/cursos-online-de-euskera/CursosonlinedeEuskera.png,3,"Cursos online de Euskera.png | Diploma-acreditativo-Euskera.png | Diploma-Euskera-2023.png"
8,"&#x1f947;Cursos online de Excel",cursos-online-de-excel,CURSOS-19-.jpg,https://dev.ciberaula.org/images/categorias/cursos-online-de-excel/CURSOS-19-.jpg,2,"CURSOS-19-.jpg | HombreExcelSecundaria.png"
46,"&#x1f947;Cursos online de excel avanzado",cursos-online-de-excel-avanzado,ExAva.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-excel-avanzado/ExAva.png,2,"ExAva.png | Excel-Avanzado.jpg"
44,"&#x1f947;Cursos online de excel básico",cursos-online-de-excel-b-sico,ExcelBasicoPrimaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-excel-b-sico/ExcelBasicoPrimaria.png,2,"ExcelBasicoPrimaria.png | ExcelBasicojpg.jpg"
45,"&#x1f947;Cursos online de excel intermedio",cursos-online-de-excel-intermedio,Excel-Intermediou.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-excel-intermedio/Excel-Intermediou.png,2,"Excel-Intermediou.png | ExcelIntermedio.jpeg"
106,"&#x1f947;Cursos online de impresión 3D",cursos-online-de-impresi-n-3d,Impresora3d.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-impresi-n-3d/Impresora3d.png,3,"Impresora3d.png | Diploma-acreditativo-impresion-3D.png | Diploma-impresion-3D-2023.png"
95,"&#x1f947;cursos online de inglés",cursos-online-de-ingl-s,InglesOnline.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingl-s/InglesOnline.png,2,"InglesOnline.png | OnlineIngles.jpg"
51,"&#x1f947;Cursos online de ingles A1",cursos-online-de-ingles-a1,InglesA1Secundaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-a1/InglesA1Secundaria.png,3,"InglesA1Secundaria.png | Diploma-acreditativo-Ingles-A1.png | Diploma-ingles-A1-2023.png"
52,"&#x1f947;Cursos online de ingles A2",cursos-online-de-ingles-a2,BTN-Demo3.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-a2/BTN-Demo3.png,4,"BTN-Demo3.png | InglesA2Secundaria.png | Diploma-acreditativo-de-Ingles-A2.png | Diploma-ingles-A2-2023.png"
50,"&#x1f947;Cursos online de ingles avanzado",cursos-online-de-ingles-avanzado,ExcelAvanzado.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-avanzado/ExcelAvanzado.png,3,"ExcelAvanzado.png | Diploma-acreditativo-Ingles-Avanzado.png | Diploma-ingles-Avanzado-2023.png"
53,"&#x1f947;Cursos online de ingles B1",cursos-online-de-ingles-b1,InglesB2Secundaria.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-b1/InglesB2Secundaria.png,3,"InglesB2Secundaria.png | Diploma-acreditativo-Ingles-Intermedio.png | Diploma-ingles-Intermedio-2023.png"
63,"&#x1f947;Cursos online de Ingles B2",cursos-online-de-ingles-b2,InglesB2.jpg,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-b2/InglesB2.jpg,3,"InglesB2.jpg | Diploma-acreditativo-Ingles-Avanzado.png | Diploma-ingles-Avanzado-2023.png"
47,"&#x1f947;Cursos online de ingles basico",cursos-online-de-ingles-basico,Cursos-Online-Ingles-Basico.png,https://dev.ciberaula.org/images/categorias/cursos-online-de-ingles-basico/Cursos-Online-Ingles-Basico.png,4,"Cursos-Online-Ingles-Basico.png | Cursos-online-de-ingles-basico.png | Diploma-acreditativo-Ingles-basico.png | Diploma-Ingles-basico.png"
